texto,label
Segue a boletim da semana com os principais destaques do produto… Bom trabalho a todos,0
Olá! Compartilhando o resumo semanal do time.,0
Apenas informando: notas de versão disponível. Obrigado!,0
Podem priorizar as permissões de acesso referente ao ticket #8435 assim que possível.,1
Estou com consumo elevado de CPU; conseguem escalar o contrato? Ref.: #3977,1
Podem agendar o banco de dados referente ao ticket #2333 até amanhã!,1
Para conhecimento: notas de versão publicada. Não requer ação.,0
Favor anexar o banco de dados assim que possível.,1
Solicito o envio da nota fiscal NF-77395 em até 24h!,1
Só passando para desejar uma ótima semana. Até mais,0
Estou com falha no checkout; conseguem aprovar o acesso da conta? Ref.: #9839,1
Solicito o envio da nota fiscal NF-20047 até o fim do dia.,1
Solicito o envio da nota fiscal NF-67760 em até 24h!,1
Podem cancelar o ticket referente ao ticket #7050 assim que possível.,1
Parabéns a todos pelo release 1.7!.,0
Conseguem investigar o backup até amanhã? Caráter emergencial.,1
Segue a newsletter da semana com os principais destaques do produto. Obrigado!,0
Changelog 2.6 publicado. Sem necessidade de retorno. Bom trabalho a todos,0
Solicito o documento até sexta-feira.,1
Bem-vindos ao time os novos integrantes! Até mais,0
Changelog 5.2 publicado. Sem necessidade de retorno…,0
Estou com problema no envio de e-mails; conseguem implantar a configuração do servidor? Ref.: #7340,1
Preciso que regularizar o webhook até o próximo dia útil.,1
Changelog 5.9 publicado. Sem necessidade de retorno.,0
Conseguem verificar o comprovante de pagamento com urgência? Alta prioridade!,1
Parabéns pelo lançamento da versão 3.6! Excelente trabalho do time!,0
"Registro de reunião: tudo certo, próximos passos já definidos internamente. Abraços",0
Changelog 7.1 publicado. Sem necessidade de retorno. Att.,0
Notas rápidas: newsletter referente à última sprint. Obrigado!,0
Podem publicar o deploy referente ao ticket #8011 até sexta-feira…,1
Notas rápidas: resumo semanal referente à última sprint… Obrigada!,0
Solicito o webhook até sexta-feira…,1
Conseguem revisar as permissões de acesso assim que possível? É urgente…,1
Estou com queda de conexão; conseguem publicar o laudo técnico? Ref.: #7302,1
Fala pessoal! Compartilhando o resumo semanal do time!,0
Solicito o chamado com urgência…,1
Publicamos as notas de versão; obrigado a todos pelo apoio. Att.,0
Para conhecimento: notas de versão publicada. Não requer ação…,0
Poderiam confirmar o build para esta semana.,1
Segue a newsletter da semana com os principais destaques do produto!,0
Olá! Compartilhando o resumo semanal do time. Bom trabalho a todos,0
Solicito o envio da nota fiscal NF-50545 o quanto antes…,1
Notas rápidas: status update referente à última sprint.,0
Conseguem esclarecer o contrato assim que possível? Alta prioridade!,1
Changelog 1.0 publicado. Sem necessidade de retorno…,0
Preciso que revisar a senha provisória para esta semana.,1
Conseguem corrigir o ambiente de homologação assim que possível? Prioridade alta…,1
Preciso que emitir o status do pedido até 17h!,1
Notas rápidas: notas de versão referente à última sprint. Obrigado!,0
Solicito o envio da nota fiscal NF-10607 até o fim do dia.,1
Solicito o envio da nota fiscal NF-93597 assim que possível!,1
"Registro de reunião: tudo certo, próximos passos já definidos internamente… Abraços",0
Publicamos as resumo semanal; obrigado a todos pelo apoio! Bom trabalho a todos,0
Olá! Compartilhando o resumo semanal do time! Abraços,0
Mensagem automática de confirmação de cadastro… Att.,0
Notas rápidas: notas de versão referente à última sprint! Abs.,0
Solicito o envio da nota fiscal NF-81267 o quanto antes.,1
Time! Compartilhando o resumo semanal do time.,0
Podem instalar o certificado SSL referente ao ticket #8253 até o fim do dia.,1
Parabéns a todos pelo release 6.4!.,0
Estou com falha no checkout; conseguem investigar o chamado? Ref.: #1243,1
Time! Compartilhando o resumo semanal do time! Obrigado!,0
Preciso que implantar o certificado SSL em até 24h…,1
Conseguem implantar o contrato até 17h? Com bastante urgência!,1
Estou com erro 500 no endpoint; conseguem aprovar a proposta? Ref.: #2626,1
Podem reativar o relatório financeiro referente ao ticket #7042 para esta semana.,1
Apenas informando: notas de versão disponível…,0
Podem atualizar o build referente ao ticket #5898 o quanto antes.,1
"Registro de reunião: tudo certo, próximos passos já definidos internamente! Obrigado!",0
Equipe! Compartilhando o resumo semanal do time! Abs.,0
"Boa tarde, poderiam reembolsar a proposta para esta semana, quando puderem!",1
Notas rápidas: boletim referente à última sprint… Bom trabalho a todos,0
Atualização interna: tarefas concluídas; nenhum retorno necessário! Bom trabalho a todos,0
Para conhecimento: atualizações do produto publicada. Não requer ação…,0
Changelog 7.5 publicado. Sem necessidade de retorno.,0
Só passando para desejar uma ótima semana! Abraços,0
Solicito as permissões de acesso até o próximo dia útil.,1
Apenas informando: newsletter disponível. Até mais,0
Podem publicar o banco de dados referente ao ticket #1128 assim que possível!,1
Para conhecimento: status update publicada. Não requer ação. Obrigada!,0
Conseguem notificar o contrato até sexta-feira? É urgente.,1
Parabéns a todos pelo release 1.2!!,0
Segue a status update da semana com os principais destaques do produto.,0
Parabéns a todos pelo release 1.5!.,0
Poderiam confirmar a atualização do sistema o quanto antes.,1
Para conhecimento: atualizações do produto publicada. Não requer ação… Até mais,0
Preciso que regularizar o ambiente de homologação assim que possível!,1
Estou com divergência de dados; conseguem renovar o boleto? Ref.: #896,1
Solicito o envio da nota fiscal NF-92353 até o fim do dia.,1
"Olá, poderiam escalar o boleto até amanhã, por gentileza!",1
Oi! Compartilhando o resumo semanal do time. Até mais,0
Podem instalar o chamado referente ao ticket #6689 até 17h.,1
Changelog 5.0 publicado. Sem necessidade de retorno…,0
Parabéns a todos pelo release 7.9!.,0
Estou com erro de permissão; conseguem investigar o certificado SSL? Ref.: #6374,1
Para conhecimento: resumo semanal publicada. Não requer ação. Até mais,0
Podem regularizar a senha provisória referente ao ticket #5093 com urgência…,1
Notas rápidas: boletim referente à última sprint. Abs.,0
"Bom dia, poderiam habilitar o ambiente de homologação até o próximo dia útil, assim que puderem…",1
Parabéns a todos pelo release 2.3!.,0
Preciso que habilitar o documento para esta semana.,1
Publicamos as boletim; obrigado a todos pelo apoio…,0
"Equipe, poderiam reativar a atualização do sistema até 17h, quando puderem.",1
Parabéns pelo lançamento da versão 4.8! Excelente trabalho do time…,0
Poderiam confirmar o backup o quanto antes…,1
Preciso que anexar o ambiente de homologação assim que possível!,1
Favor implantar o banco de dados para esta semana.,1
Parabéns pelo lançamento da versão 4.5! Excelente trabalho do time. Bom trabalho a todos,0
Parabéns pelo lançamento da versão 3.6! Excelente trabalho do time. Abs.,0
Apenas informando: notas de versão disponível.,0
"Olá, pessoal! Obrigado pela ajuda de ontem. Até mais",0
Favor corrigir a senha provisória ainda hoje.,1
Para conhecimento: status update publicada. Não requer ação!,0
Preciso que desbloquear a configuração do servidor até amanhã.,1
Solicito o índice de busca com urgência.,1
Segue a boletim da semana com os principais destaques do produto. Abraços,0
Podem autorizar as permissões de acesso referente ao ticket #547 para esta semana.,1
Estou com timeout na API; conseguem autorizar o orçamento? Ref.: #1798,1
Parabéns pelo lançamento da versão 6.2! Excelente trabalho do time.,0
Para conhecimento: boletim publicada. Não requer ação!,0
Preciso que priorizar o pipeline de CI/CD até sexta-feira.,1
"Time, pessoal! Obrigado pela ajuda de ontem. Abraços",0
"Fala pessoal, poderiam regularizar o ambiente de produção até 17h, por gentileza.",1
Segue a boletim da semana com os principais destaques do produto… Obrigada!,0
Publicamos as resumo semanal; obrigado a todos pelo apoio… Bom trabalho a todos,0
Conseguem verificar o boleto assim que possível? Prioridade alta.,1
Sem pendências no momento; bom trabalho a todos. Bom trabalho a todos,0
Estou com consumo elevado de CPU; conseguem emitir o backup? Ref.: #1293,1
Precisamos priorizar o DNS para o pedido PED-2021-413 até 15/09!,1
Para conhecimento: notas de versão publicada. Não requer ação. Obrigado!,0
Notas rápidas: status update referente à última sprint… Obrigado!,0
Poderiam confirmar o ambiente de homologação com urgência.,1
Estou com loop de redirecionamento; conseguem notificar a senha provisória? Ref.: #7397,1
Poderiam confirmar a proposta até o fim do dia.,1
Para conhecimento: release notes publicada. Não requer ação. Abs.,0
"Olá, pessoal! Obrigado pela ajuda de ontem…",0
Notas rápidas: boletim referente à última sprint… Até mais,0
Publicamos as boletim; obrigado a todos pelo apoio. Bom trabalho a todos,0
Precisamos liberar o acesso da conta para o pedido PED-2025-9806 até 05/08.,1
"Prezados, poderiam aprovar o documento até 17h, por favor!",1
Parabéns a todos pelo release 6.7!…,0
Parabéns pelo lançamento da versão 1.2! Excelente trabalho do time!,0
"Bom dia, poderiam resetar o cadastro ainda hoje, assim que puderem.",1
Solicito a fatura o quanto antes.,1
Changelog 2.0 publicado. Sem necessidade de retorno!,0
Solicito a atualização do sistema até 17h. Até mais,1
Poderiam confirmar o ambiente de produção até o fim do dia!,1
Equipe! Compartilhando o resumo semanal do time.,0
Bem-vindos ao time os novos integrantes… Abs.,0
Publicamos as release notes; obrigado a todos pelo apoio…,0
Poderiam confirmar o webhook até 17h.,1
Favor resetar o orçamento assim que possível.,1
Changelog 1.0 publicado. Sem necessidade de retorno… Abs.,0
Conseguem instalar o DNS até sexta-feira? Prioridade alta!,1
Apenas informando: resumo semanal disponível. Obrigado!,0
Solicito o comprovante de pagamento em até 24h.,1
Solicito o boleto até 17h!,1
Podem esclarecer o chamado referente ao ticket #590 com urgência…,1
"Equipe, pessoal! Obrigado pela ajuda de ontem! Abraços",0
Parabéns a todos pelo release 1.4!.,0
Apenas informando: resumo semanal disponível… Bom trabalho a todos,0
Solicito o envio da nota fiscal NF-85147 assim que possível.,1
Fala pessoal! Compartilhando o resumo semanal do time…,0
Sem pendências no momento; bom trabalho a todos. Abs.,0
"Boa noite, pessoal! Obrigado pela ajuda de ontem. Obrigada!",0
Solicito o certificado SSL até o fim do dia.,1
"Bom dia, poderiam confirmar a fatura o quanto antes, por favor!",1
Precisamos reembolsar as permissões de acesso para o pedido PED-2019-3676 até 22/03!,1
Precisamos notificar o comprovante de pagamento para o pedido PED-2020-1974 até 23/07.,1
Conseguem reativar o webhook até o fim do dia? Prioridade alta.,1
Changelog 5.4 publicado. Sem necessidade de retorno!,0
"Boa noite, poderiam publicar o ambiente de produção até o próximo dia útil, por favor.",1
Solicito a fatura para esta semana.,1
Solicito o comprovante de pagamento até o fim do dia.,1
"Time, poderiam habilitar a nota fiscal até 17h, se possível.",1
Favor aprovar o ticket em até 24h.,1
Publicamos as resumo semanal; obrigado a todos pelo apoio.,0
Solicito o envio da nota fiscal NF-43267 o quanto antes.,1
Podem publicar o backup referente ao ticket #1142 até o fim do dia.,1
Publicamos as release notes; obrigado a todos pelo apoio.,0
Para conhecimento: resumo semanal publicada. Não requer ação. Obrigada!,0
Publicamos as changelog; obrigado a todos pelo apoio.,0
Favor cancelar o orçamento assim que possível…,1
Para conhecimento: status update publicada. Não requer ação.,0
Solicito o envio da nota fiscal NF-10835 ainda hoje.,1
Parabéns a todos pelo release 7.7!. Abraços,0
Favor confirmar o contrato para esta semana.,1
Segue a boletim da semana com os principais destaques do produto. Até mais,0
Solicito as permissões de acesso até o fim do dia.,1
Solicito a atualização do sistema ainda hoje.,1
Notas rápidas: changelog referente à última sprint. Obrigada!,0
"Oi, pessoal! Obrigado pela ajuda de ontem. Abraços",0
Poderiam confirmar as permissões de acesso até sexta-feira…,1
Preciso que reativar o orçamento com urgência.,1
Para conhecimento: boletim publicada. Não requer ação. Abraços,0
"Equipe, poderiam resetar o chamado ainda hoje, quando puderem.",1
Poderiam confirmar a fatura o quanto antes.,1
Solicito o backup até amanhã. Bom trabalho a todos,1
Parabéns pelo lançamento da versão 1.5! Excelente trabalho do time… Até mais,0
"Boa tarde, pessoal! Obrigado pela ajuda de ontem.",0
Conseguem publicar o webhook até 17h? Caráter emergencial.,1
"Bom dia, pessoal! Obrigado pela ajuda de ontem… Obrigada!",0
"Prezados, pessoal! Obrigado pela ajuda de ontem! Obrigado!",0
Parabéns pelo lançamento da versão 2.3! Excelente trabalho do time!,0
Parabéns pelo lançamento da versão 5.0! Excelente trabalho do time.,0
Favor resetar o cadastro assim que possível.,1
Equipe! Compartilhando o resumo semanal do time. Abraços,0
Notas rápidas: changelog referente à última sprint. Até mais,0
Parabéns a todos pelo release 6.1!!,0
"Olá, poderiam substituir o status do pedido até amanhã, por favor!",1
Favor notificar a nota fiscal até sexta-feira.,1
Estou com erro 500 no endpoint; conseguem notificar o chamado? Ref.: #5818,1
Conseguem implantar o boleto até o próximo dia útil? Com bastante urgência.,1
Publicamos as newsletter; obrigado a todos pelo apoio…,0
Parabéns a todos pelo release 1.8!. Abs.,0
Publicamos as release notes; obrigado a todos pelo apoio. Att.,0
Notas rápidas: atualizações do produto referente à última sprint! Obrigado!,0
Parabéns a todos pelo release 7.2!. Até mais,0
Favor validar o certificado SSL para esta semana.,1
Publicamos as atualizações do produto; obrigado a todos pelo apoio. Obrigada!,0
Preciso que emitir o banco de dados até 17h.,1
Changelog 2.8 publicado. Sem necessidade de retorno…,0
Solicito o envio da nota fiscal NF-36180 com urgência.,1
Precisamos validar o pipeline de CI/CD para o pedido PED-2025-1425 até 11/03…,1
Parabéns pelo lançamento da versão 2.5! Excelente trabalho do time…,0
Parabéns pelo lançamento da versão 2.7! Excelente trabalho do time…,0
Poderiam confirmar as permissões de acesso até amanhã.,1
Só passando para desejar uma ótima semana… Obrigado!,0
Solicito o backup para esta semana…,1
Poderiam confirmar o acesso da conta até sexta-feira…,1
"Boa noite, pessoal! Obrigado pela ajuda de ontem.",0
Estou com bug na tela de login; conseguem atualizar o deploy? Ref.: #2566,1
"Equipe, poderiam confirmar o backup em até 24h, por gentileza.",1
Para conhecimento: status update publicada. Não requer ação. Att.,0
Atualização interna: tarefas concluídas; nenhum retorno necessário! Até mais,0
Preciso que verificar o relatório financeiro até sexta-feira.,1
Publicamos as resumo semanal; obrigado a todos pelo apoio. Att.,0
"Registro de reunião: tudo certo, próximos passos já definidos internamente. Abs.",0
Para conhecimento: notas de versão publicada. Não requer ação. Att.,0
Segue a newsletter da semana com os principais destaques do produto. Abs.,0
Bem-vindos ao time os novos integrantes. Abraços,0
Podem publicar a senha provisória referente ao ticket #9354 o quanto antes…,1
Favor resetar o orçamento até 17h.,1
Apenas informando: status update disponível. Até mais,0
Parabéns a todos pelo release 3.1!! Até mais,0
Conseguem implantar o build ainda hoje? Prioridade alta…,1
Parabéns pelo lançamento da versão 5.0! Excelente trabalho do time!,0
Mensagem automática de confirmação de cadastro…,0
Mensagem automática de confirmação de cadastro. Obrigado!,0
Só passando para desejar uma ótima semana… Obrigada!,0
Solicito o envio da nota fiscal NF-48884 até 17h…,1
Apenas informando: boletim disponível…,0
Apenas informando: release notes disponível. Abraços,0
Parabéns pelo lançamento da versão 1.1! Excelente trabalho do time.,0
Estou com consumo elevado de CPU; conseguem emitir o orçamento? Ref.: #9294,1
Estou com falha no checkout; conseguem investigar a nota fiscal? Ref.: #4349,1
Atualização interna: tarefas concluídas; nenhum retorno necessário! Obrigada!,0
Favor substituir a atualização do sistema assim que possível!,1
Estou com timeout na API; conseguem verificar o relatório financeiro? Ref.: #7308,1
Apenas informando: boletim disponível! Obrigada!,0
Só passando para desejar uma ótima semana! Bom trabalho a todos,0
"Boa tarde, pessoal! Obrigado pela ajuda de ontem. Abs.",0
Bem-vindos ao time os novos integrantes! Bom trabalho a todos,0
Poderiam confirmar o comprovante de pagamento com urgência…,1
"Time, pessoal! Obrigado pela ajuda de ontem. Até mais",0
Parabéns pelo lançamento da versão 3.3! Excelente trabalho do time.,0
"Fala pessoal, poderiam substituir o comprovante de pagamento até sexta-feira, por favor.",1
Estou com erro 500 no endpoint; conseguem reagendar o laudo técnico? Ref.: #151,1
Parabéns pelo lançamento da versão 1.5! Excelente trabalho do time.,0
"Oi, poderiam publicar a atualização do sistema assim que possível, por favor.",1
Mensagem automática de confirmação de cadastro… Bom trabalho a todos,0
Podem retornar o pipeline de CI/CD referente ao ticket #7672 para esta semana!,1
Publicamos as newsletter; obrigado a todos pelo apoio! Abraços,0
Parabéns pelo lançamento da versão 3.6! Excelente trabalho do time.,0
Segue a atualizações do produto da semana com os principais destaques do produto.,0
Notas rápidas: status update referente à última sprint… Até mais,0
Notas rápidas: resumo semanal referente à última sprint… Até mais,0
Preciso que validar o build até o fim do dia…,1
Publicamos as boletim; obrigado a todos pelo apoio… Bom trabalho a todos,0
Podem escalar o comprovante de pagamento referente ao ticket #6360 o quanto antes.,1
Podem publicar a fatura referente ao ticket #8282 até sexta-feira!,1
Conseguem priorizar o webhook até sexta-feira? Caráter emergencial.,1
Mensagem automática de confirmação de cadastro! Obrigado!,0
Estou com falta de espaço em disco; conseguem atualizar a senha provisória? Ref.: #4187,1
Podem verificar a configuração do servidor referente ao ticket #2563 o quanto antes!,1
"Bom dia, pessoal! Obrigado pela ajuda de ontem. Abs.",0
Poderiam confirmar as permissões de acesso até 17h…,1
Fala pessoal! Compartilhando o resumo semanal do time. Abs.,0
Preciso que liberar o comprovante de pagamento ainda hoje.,1
"Boa tarde, pessoal! Obrigado pela ajuda de ontem! Até mais",0
Poderiam confirmar o documento com urgência. Obrigado!,1
Apenas informando: newsletter disponível.,0
Solicito o contrato para esta semana…,1
Notas rápidas: status update referente à última sprint. Att.,0
Parabéns pelo lançamento da versão 6.7! Excelente trabalho do time…,0
Apenas informando: changelog disponível… Bom trabalho a todos,0
Bem-vindos ao time os novos integrantes. Obrigada!,0
Solicito o laudo técnico até sexta-feira.,1
Poderiam confirmar a atualização do sistema em até 24h.,1
Conseguem reembolsar o ambiente de homologação assim que possível? Alta prioridade.,1
Solicito o envio da nota fiscal NF-25766 em até 24h.,1
Precisamos providenciar a configuração do servidor para o pedido PED-2024-8773 até 15/04!,1
Poderiam confirmar a senha provisória até o próximo dia útil!,1
Publicamos as resumo semanal; obrigado a todos pelo apoio!,0
Publicamos as atualizações do produto; obrigado a todos pelo apoio.,0
Solicito o ambiente de homologação até sexta-feira…,1
Bom dia! Compartilhando o resumo semanal do time… Até mais,0
Publicamos as boletim; obrigado a todos pelo apoio.,0
Precisamos enviar o backup para o pedido PED-2021-5584 até 15/11…,1
Poderiam confirmar o banco de dados até 17h.,1
Bem-vindos ao time os novos integrantes! Att.,0
Precisamos anexar o pipeline de CI/CD para o pedido PED-2020-7479 até 20/02.,1
Precisamos retornar o relatório financeiro para o pedido PED-2020-1424 até 09/03…,1
Apenas informando: atualizações do produto disponível. Obrigado!,0
Parabéns a todos pelo release 7.4!!,0
"Registro de reunião: tudo certo, próximos passos já definidos internamente. Bom trabalho a todos",0
Parabéns pelo lançamento da versão 7.8! Excelente trabalho do time.,0
Favor reembolsar o chamado até 17h.,1
Podem agendar o ambiente de produção referente ao ticket #7744 até sexta-feira.,1
"Olá, pessoal! Obrigado pela ajuda de ontem! Att.",0
"Fala pessoal, pessoal! Obrigado pela ajuda de ontem. Abraços",0
Atualização interna: tarefas concluídas; nenhum retorno necessário!,0
Parabéns pelo lançamento da versão 1.4! Excelente trabalho do time.,0
Notas rápidas: newsletter referente à última sprint.,0
Preciso que confirmar a configuração do servidor até 17h.,1
Poderiam confirmar o orçamento o quanto antes.,1
Changelog 5.4 publicado. Sem necessidade de retorno.,0
Precisamos corrigir a senha provisória para o pedido PED-2019-7745 até 21/04.,1
"Fala pessoal, poderiam providenciar a configuração do servidor com urgência, por gentileza.",1
Poderiam confirmar o comprovante de pagamento ainda hoje.,1
Favor retornar o ticket ainda hoje.,1
Preciso que escalar a proposta com urgência.,1
Poderiam confirmar o boleto até amanhã!,1
Podem verificar a proposta referente ao ticket #5114 até sexta-feira.,1
Estou com instabilidade no servidor; conseguem enviar a configuração do servidor? Ref.: #4362,1
Boa noite! Compartilhando o resumo semanal do time. Obrigada!,0
Sem pendências no momento; bom trabalho a todos! Att.,0
Parabéns pelo lançamento da versão 1.9! Excelente trabalho do time…,0
Changelog 3.1 publicado. Sem necessidade de retorno!,0
Notas rápidas: changelog referente à última sprint. Abs.,0
Podem anexar o acesso da conta referente ao ticket #3482 até o fim do dia.,1
Preciso que revisar o status do pedido até o fim do dia.,1
Só passando para desejar uma ótima semana… Abs.,0
Solicito o envio da nota fiscal NF-14793 até sexta-feira.,1
Para conhecimento: release notes publicada. Não requer ação!,0
Solicito as permissões de acesso para esta semana.,1
Changelog 2.2 publicado. Sem necessidade de retorno.,0
Boa noite! Compartilhando o resumo semanal do time. Abs.,0
Segue a resumo semanal da semana com os principais destaques do produto. Bom trabalho a todos,0
Favor retornar o chamado até o fim do dia…,1
Notas rápidas: changelog referente à última sprint… Abraços,0
Changelog 1.7 publicado. Sem necessidade de retorno.,0
"Time, poderiam emitir o relatório financeiro para esta semana, por favor…",1
Changelog 3.7 publicado. Sem necessidade de retorno.,0
Notas rápidas: newsletter referente à última sprint… Obrigado!,0
Parabéns a todos pelo release 3.4!.,0
Notas rápidas: atualizações do produto referente à última sprint! Obrigada!,0
Prezados! Compartilhando o resumo semanal do time. Att.,0
Solicito o envio da nota fiscal NF-22373 assim que possível.,1
Solicito o ticket até o fim do dia…,1
Precisamos verificar o relatório financeiro para o pedido PED-2020-6418 até 22/04.,1
"Fala pessoal, poderiam reembolsar a proposta até o fim do dia, por gentileza.",1
Parabéns a todos pelo release 2.5!. Abs.,0
Parabéns pelo lançamento da versão 1.8! Excelente trabalho do time. Obrigada!,0
Precisamos validar o ambiente de produção para o pedido PED-2020-6246 até 08/01!,1
Publicamos as changelog; obrigado a todos pelo apoio! Até mais,0
Parabéns pelo lançamento da versão 5.1! Excelente trabalho do time. Bom trabalho a todos,0
Parabéns pelo lançamento da versão 3.9! Excelente trabalho do time!,0
Podem anexar o deploy referente ao ticket #2875 o quanto antes!,1
Estou com lentidão no sistema; conseguem renovar o status do pedido? Ref.: #4508,1
Podem desbloquear o contrato referente ao ticket #8832 até o próximo dia útil.,1
Para conhecimento: atualizações do produto publicada. Não requer ação. Att.,0
Favor renovar a integração para esta semana.,1
Parabéns pelo lançamento da versão 4.1! Excelente trabalho do time!,0
Parabéns pelo lançamento da versão 6.0! Excelente trabalho do time! Abraços,0
Publicamos as status update; obrigado a todos pelo apoio! Att.,0
Precisamos revisar o webhook para o pedido PED-2019-6282 até 12/11!,1
Estou com loop de redirecionamento; conseguem desbloquear a integração? Ref.: #5625,1
Podem ajustar o orçamento referente ao ticket #349 com urgência…,1
Precisamos ajustar o certificado SSL para o pedido PED-2020-1009 até 28/02…,1
Estou com falta de espaço em disco; conseguem confirmar o DNS? Ref.: #7593,1
Poderiam confirmar a fatura até o próximo dia útil!,1
Só passando para desejar uma ótima semana! Att.,0
Estou com problema no envio de e-mails; conseguem escalar o cadastro? Ref.: #4986,1
Preciso que atualizar a configuração do servidor em até 24h.,1
Conseguem enviar o ambiente de homologação até o próximo dia útil? Com bastante urgência…,1
